size_bytes,duration_seconds,file_extension,filepath_anonymized,size_mb,duration_min
4181556,104.4261,mp3,Sonica/audio/rehearsal archive/20190427/song_15_v3 (WIP).mp3,3.987842559814453,1.7404350000000002
5500128,137.3904,mp3,Sonica/audio/rehearsal archive/20190427/song_16_v2.mp3,5.245330810546875,2.28984
5836296,145.7946,mp3,Sonica/audio/rehearsal archive/20190427/song_17_v1 (Sunburst Finish).mp3,5.565925598144531,2.42991
10187688,254.5794,mp3,Sonica/audio/rehearsal archive/20190427/song_18_v1 (Curves).mp3,9.715736389160156,4.24299
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._Song_01_ocean_Blue_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_03_v9.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_04_v7.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_05_v11.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_07_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_09_v7.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_10_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_11_v7.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_12_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_13_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_14_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_15_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_16_v3.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_17_v2 (Sunburst Finish).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_18_v2 (Curves).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_19_v1.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_20_v1 (Soarer baby).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_21_v1.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190504/._song_22_v1 (last jam).mp3,0.00390625,
7266030,181.5516,mp3,Sonica/audio/rehearsal archive/20190504/Song_01_ocean_Blue_v2.mp3,6.929426193237305,3.02586
9169273,229.1058,mp3,Sonica/audio/rehearsal archive/20190504/song_03_v9.mp3,8.744500160217285,3.8184299999999998
11693665,292.2156,mp3,Sonica/audio/rehearsal archive/20190504/song_04_v7.mp3,11.151947975158691,4.87026
9819685,245.3661,mp3,Sonica/audio/rehearsal archive/20190504/song_05_v11.mp3,9.364781379699707,4.089435
9004321,224.982,mp3,Sonica/audio/rehearsal archive/20190504/song_07_v6.mp3,8.587189674377441,3.7497
13827072,345.564,mp3,Sonica/audio/rehearsal archive/20190504/song_09_v7.mp3,13.1865234375,5.7594
13306645,332.5401,mp3,Sonica/audio/rehearsal archive/20190504/song_10_v5.mp3,12.690205574035645,5.542335
10390224,259.6428,mp3,Sonica/audio/rehearsal archive/20190504/song_11_v7.mp3,9.908889770507812,4.327380000000001
14344896,358.5096,mp3,Sonica/audio/rehearsal archive/20190504/song_12_v4.mp3,13.68035888671875,5.97516
9370230,234.1431,mp3,Sonica/audio/rehearsal archive/20190504/song_13_v6.mp3,8.936147689819336,3.902385
8870160,221.6412,mp3,Sonica/audio/rehearsal archive/20190504/song_14_v5.mp3,8.459243774414062,3.69402
16424544,410.5008,mp3,Sonica/audio/rehearsal archive/20190504/song_15_v4.mp3,15.663665771484375,6.84168
15546025,388.5246,mp3,Sonica/audio/rehearsal archive/20190504/song_16_v3.mp3,14.825844764709473,6.47541
